Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;3.35;5.86;7.06;6.75;5.19;4.83;8.22;7.24;8.40;6.62;7.50;7.30;3.01
Price/Earnings;—;55.67;10.96;—;21.71;18.50;15.16;37.62;84.08;13.84;60.89;33.28;25.53
Price/Cash Flow;11.66;9.12;8.94;16.95;13.55;10.72;20.51;14.78;19.72;13.69;14.77;16.37;17.03
Price/Book;1.17;1.93;1.43;1.48;1.19;2.01;1.41;1.20;1.41;1.11;1.24;1.33;4.19
Price/Forward Earnings;-53.48;37.59;9.07;11.98;—;—;—;—;—;—;—;—;—
PEG Ratio;—;4.86;1.17;1.55;—;—;—;—;—;—;—;—;—
Earnings Yield %;-3.90;1.80;9.13;-0.65;4.61;5.41;6.59;2.66;1.19;7.22;1.64;4.43;—
Enterprise Value (Bil);1.29;1.29;2.69;3.14;2.77;4.04;4.93;4.31;7.89;6.93;7.78;5.58;—
Enterprise Value/EBIT;92.22;112.66;1,025.10;109.96;44.00;61.18;139.00;45.64;90.47;24.48;50.51;87.21;—
Enterprise Value/EBITDA;17.85;20.16;43.26;19.35;13.50;20.82;20.77;15.70;25.32;12.00;17.60;18.95;—
