Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;0.21;0.48;0.57;0.88;0.96;1.05;0.40;0.46;0.47;0.93;0.65;3.01
Price/Earnings;—;—;—;27.99;250.76;20.99;104.56;23.68;52.73;21.37;51.13;42.98;25.53
Price/Cash Flow;—;10.30;6.27;14.08;10.19;7.83;13.31;5.80;5.49;3.44;8.20;7.08;17.03
Price/Book;0.33;1.31;3.59;3.99;6.38;5.08;4.94;1.86;2.06;1.76;3.42;3.36;4.19
Price/Forward Earnings;-2.22;-15.08;-14.53;—;—;16.13;15.46;7.55;18.45;18.76;34.84;20.98;—
PEG Ratio;—;—;—;—;—;1.77;0.84;0.32;0.35;—;0.91;0.80;—
Earnings Yield %;—;-23.32;-8.79;3.57;0.40;4.76;0.96;4.22;1.90;4.68;1.96;3.05;—
Enterprise Value (Bil);0.11;0.18;0.39;0.52;1.07;1.41;1.83;1.29;1.45;1.44;2.06;1.46;—
Enterprise Value/EBIT;—;—;—;15.42;48.25;22.72;22.84;16.79;20.03;18.35;32.87;25.02;—
Enterprise Value/EBITDA;—;—;145.02;9.48;17.49;12.50;12.63;7.87;8.71;8.18;12.60;10.32;—
