Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;4.51;4.91;5.98;7.43;7.16;5.87;6.92;5.88;6.45;4.29;6.16;5.81;3.07
Price/Earnings;8.96;49.00;138.62;33.95;59.39;37.07;98.46;21.82;41.76;22.31;23.83;41.61;25.84
Price/Cash Flow;18.07;19.42;22.15;25.96;26.66;15.79;19.44;16.49;19.00;11.94;11.19;16.12;17.36
Price/Book;1.01;1.16;1.45;1.75;1.61;1.53;1.42;1.10;1.33;0.84;1.20;1.26;4.27
Price/Forward Earnings;76.34;21.32;27.25;109.89;—;—;52.63;40.32;40.98;24.94;41.15;55.27;—
PEG Ratio;15.50;3.43;4.39;17.64;—;—;—;3.55;3.27;7.14;1.73;—;—
Earnings Yield %;10.28;2.05;0.72;2.95;1.68;2.70;1.02;4.58;2.39;4.48;4.20;3.52;—
Enterprise Value (Bil);11.57;13.79;15.67;19.90;21.68;17.35;16.64;12.54;13.90;10.21;11.62;14.01;—
Enterprise Value/EBIT;12.76;26.21;35.33;27.65;39.27;25.32;43.81;21.38;33.80;27.10;29.92;31.85;—
Enterprise Value/EBITDA;9.79;15.71;19.35;17.95;19.19;11.29;20.31;14.04;19.79;14.40;16.37;16.41;—
