Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.77;1.27;1.83;1.59;0.60;1.14;0.47;0.74;0.78;0.77;0.85;0.77;3.07
Price/Earnings;13.88;15.31;42.51;28.25;—;49.82;—;—;27.36;16.57;46.00;31.93;25.84
Price/Cash Flow;17.45;10.20;22.32;20.20;—;6.40;11.26;20.62;15.32;12.35;35.77;33.00;17.36
Price/Book;1.96;2.72;2.45;2.29;1.06;1.96;0.90;1.33;1.47;1.23;1.28;1.39;4.27
Price/Forward Earnings;9.74;12.87;16.08;13.05;8.44;15.17;9.16;17.76;13.21;12.55;16.72;14.46;—
PEG Ratio;0.39;0.51;0.64;0.52;0.56;1.01;0.61;1.18;0.88;0.84;1.12;0.96;—
Earnings Yield %;7.21;6.53;2.35;3.54;-0.26;2.01;-24.37;-8.44;3.66;6.03;2.17;-2.43;—
Enterprise Value (Mil);80.49;145.74;491.31;474.46;424.01;573.49;275.72;288.20;323.18;291.33;301.54;340.97;—
Enterprise Value/EBIT;7.71;8.82;62.72;22.88;61.18;23.59;—;—;19.53;15.84;23.67;40.31;—
Enterprise Value/EBITDA;6.73;8.20;42.71;14.69;14.24;12.85;—;28.86;11.60;10.38;13.17;14.31;—
