Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.09;0.97;1.38;1.38;1.33;2.09;2.44;1.32;1.89;2.74;2.18;2.02;3.01
Price/Earnings;25.38;23.06;24.12;23.61;25.10;23.36;32.52;27.56;13.67;29.37;19.91;25.85;25.53
Price/Cash Flow;25.31;14.74;11.39;16.22;16.25;24.95;18.19;10.25;26.36;20.31;23.24;22.21;17.03
Price/Book;5.07;5.27;5.45;6.83;6.39;8.00;9.43;9.58;8.24;15.91;11.21;10.13;4.19
Price/Forward Earnings;14.08;13.89;17.27;17.36;—;22.47;24.63;14.03;20.75;24.39;20.28;21.29;—
PEG Ratio;1.31;1.39;1.73;1.74;—;2.08;2.37;0.49;1.97;2.94;1.76;1.62;—
Earnings Yield %;3.94;4.34;4.15;4.24;3.98;4.28;3.08;3.63;7.32;3.40;5.02;4.50;—
Enterprise Value (Bil);3.51;3.58;4.31;4.48;5.06;7.00;7.43;5.38;7.56;12.76;13.07;8.19;—
Enterprise Value/EBIT;14.28;14.28;13.76;14.73;17.18;15.28;19.00;26.63;11.06;21.61;16.72;18.56;—
Enterprise Value/EBITDA;11.42;11.41;11.37;12.16;13.92;13.17;15.77;18.85;9.78;18.62;14.90;15.69;—
