Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.68;1.66;1.91;1.89;1.28;1.79;1.78;2.01;2.19;2.11;2.57;1.97;3.07
Price/Earnings;20.89;15.03;16.99;13.32;9.19;8.99;12.84;5.48;14.98;14.44;22.34;11.71;25.84
Price/Cash Flow;7.36;5.57;6.20;6.15;3.96;3.91;4.86;5.25;6.58;6.43;6.91;5.34;17.36
Price/Book;1.76;1.63;1.82;1.91;1.41;1.77;1.60;1.41;1.62;1.51;1.59;1.52;4.27
Price/Forward Earnings;16.98;8.81;9.47;11.29;8.45;—;15.34;13.99;16.08;20.28;21.14;15.86;—
PEG Ratio;1.13;0.56;0.60;0.72;—;—;—;—;—;—;—;—;—
Earnings Yield %;4.79;6.65;5.88;7.51;10.88;11.12;7.79;18.25;6.67;6.92;4.48;10.16;—
Enterprise Value (Bil);5.36;5.42;6.00;6.65;5.97;6.47;6.48;6.75;7.97;8.00;8.87;7.20;—
Enterprise Value/EBIT;19.34;22.67;25.41;22.02;16.87;17.37;19.12;22.01;24.52;24.56;30.39;22.34;—
Enterprise Value/EBITDA;10.47;11.10;12.07;11.36;9.10;9.53;9.86;10.47;11.97;12.15;13.79;11.00;—
