Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.35;3.02;2.96;2.85;2.12;2.93;3.13;1.87;3.50;3.72;3.03;3.01;3.07
Price/Earnings;24.89;37.28;23.98;20.52;25.63;—;23.00;13.70;70.93;43.12;11.40;48.72;25.84
Price/Cash Flow;11.07;19.85;15.16;13.92;15.71;18.25;13.13;9.58;21.66;15.04;7.86;14.97;17.36
Price/Book;6.57;11.40;10.09;6.92;5.72;10.83;10.60;1.81;2.35;2.80;2.41;5.76;4.27
Price/Forward Earnings;32.68;34.36;22.83;20.28;25.91;28.01;18.69;16.10;38.61;18.05;7.17;29.95;—
PEG Ratio;6.53;6.88;4.57;4.06;5.18;5.61;3.74;3.22;—;—;—;4.65;—
Earnings Yield %;4.02;2.68;4.17;4.87;3.90;0.00;4.35;7.30;1.41;2.32;8.77;3.19;—
Enterprise Value (Bil);1.54;1.86;1.95;1.95;1.86;2.20;2.49;2.78;3.58;3.96;3.94;3.11;—
Enterprise Value/EBIT;18.58;21.93;17.15;15.38;24.57;111.72;18.55;13.49;47.06;35.05;9.56;47.53;—
Enterprise Value/EBITDA;13.60;16.75;13.85;12.74;16.71;39.74;15.12;10.39;24.15;20.80;8.05;21.32;—
