Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.88;1.05;1.12;1.33;1.49;1.85;2.06;2.06;2.59;2.61;2.49;2.25;3.07
Price/Earnings;14.53;17.54;17.50;19.72;19.43;20.01;24.51;25.73;28.69;22.85;19.97;24.24;25.84
Price/Cash Flow;5.01;5.28;5.10;7.52;5.23;7.93;8.35;6.77;11.64;11.33;9.16;9.36;17.36
Price/Book;1.84;2.02;2.10;2.61;2.56;2.73;2.94;2.96;3.60;3.31;3.03;3.13;4.27
Price/Forward Earnings;14.29;11.71;13.05;18.52;17.95;19.19;20.33;19.88;23.53;21.41;21.79;21.38;—
PEG Ratio;2.41;2.50;1.80;3.39;2.94;2.70;3.18;3.22;2.72;2.99;3.51;3.11;—
Earnings Yield %;6.88;5.70;5.71;5.07;5.15;5.00;4.08;3.89;3.49;4.38;5.01;4.17;—
Enterprise Value (Bil);12.32;13.86;14.62;17.93;18.67;21.22;23.51;24.94;30.63;32.24;31.96;26.64;—
Enterprise Value/EBIT;12.20;13.71;13.34;15.69;15.69;16.53;19.16;18.94;24.39;22.27;20.38;20.17;—
Enterprise Value/EBITDA;7.93;8.61;8.52;9.90;9.65;10.27;11.23;11.16;13.74;13.01;12.11;12.14;—
