Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.13;0.60;0.58;0.33;0.12;0.15;0.20;0.05;0.06;0.09;0.26;0.11;3.01
Price/Earnings;—;—;30.09;2.21;—;—;—;22.80;—;4.67;1.27;16.63;25.53
Price/Cash Flow;—;—;115.95;—;—;1.04;1.66;—;—;0.74;2.98;1.99;17.03
Price/Book;—;—;—;—;—;—;—;—;—;—;—;—;4.19
Price/Forward Earnings;-5.67;-13.40;21.14;2.35;8.83;14.37;-111.11;-3.60;2.48;1.31;0.74;43.28;—
PEG Ratio;—;—;4.23;0.47;—;—;—;—;—;—;—;—;—
Earnings Yield %;-196.55;-7.43;3.32;45.28;-6.08;-0.73;-67.16;4.39;-33.83;21.39;78.93;-23.95;—
Enterprise Value (Bil);1.72;2.52;2.42;2.33;2.31;2.08;1.91;1.62;1.83;1.66;2.11;1.89;—
Enterprise Value/EBIT;—;—;23.74;23.09;35.06;20.64;20.29;17.06;28.72;12.75;11.06;20.54;—
Enterprise Value/EBITDA;—;877.30;22.69;22.34;33.34;19.94;19.41;16.51;26.96;12.25;10.75;19.65;—
