Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.77;0.78;1.07;1.54;1.42;1.75;2.00;1.39;1.32;1.12;1.40;1.55;3.01
Price/Earnings;9.26;—;—;18.60;15.49;17.89;19.23;15.31;15.29;13.49;17.09;16.77;25.53
Price/Cash Flow;9.42;9.11;14.39;8.90;21.65;33.75;23.01;15.35;19.42;11.65;11.96;19.49;17.03
Price/Book;1.74;2.17;2.68;3.51;4.01;4.61;5.22;3.56;3.78;2.90;3.48;4.25;4.19
Price/Forward Earnings;8.73;9.41;12.94;16.42;14.39;17.18;19.34;12.84;13.64;12.59;16.86;15.94;—
PEG Ratio;0.98;3.21;4.31;2.51;2.09;3.41;3.97;1.59;1.78;3.64;2.34;2.91;—
Earnings Yield %;10.80;-1.36;-0.74;5.38;6.46;5.59;5.20;6.53;6.54;7.41;5.85;6.16;—
Enterprise Value (Bil);26.24;25.30;33.61;44.52;43.03;54.16;62.91;57.46;65.22;55.96;66.05;60.20;—
Enterprise Value/EBIT;6.56;35.69;44.70;11.82;10.18;12.72;13.99;13.53;14.18;13.18;15.58;13.80;—
Enterprise Value/EBITDA;5.73;19.04;25.29;10.34;9.14;11.47;12.74;11.72;11.98;10.99;12.90;12.02;—
