Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.71;0.86;3.63;2.75;2.25;1.91;1.62;1.42;2.05;1.18;1.55;1.53;3.07
Price/Earnings;—;1.84;10.30;79.68;23.11;20.42;29.07;6.04;20.72;9.21;8.19;14.76;25.84
Price/Cash Flow;4.76;4.07;30.65;15.26;10.14;9.11;20.85;6.51;9.91;5.07;5.43;9.06;17.36
Price/Book;—;105.33;150.14;88.71;31.95;12.76;3.02;2.08;2.78;2.11;2.52;4.48;4.27
Price/Forward Earnings;9.92;14.51;17.42;20.62;13.70;18.35;11.60;11.11;8.23;12.18;14.81;12.67;—
PEG Ratio;—;—;—;—;0.69;1.83;1.16;1.11;—;2.16;12.95;2.09;—
Earnings Yield %;-0.26;54.49;9.71;1.26;4.33;4.90;3.44;16.54;4.83;10.86;12.20;8.63;—
Enterprise Value (Bil);0.74;1.02;2.69;2.63;3.26;4.26;7.82;7.62;13.82;12.23;13.74;8.79;—
Enterprise Value/EBIT;13.89;10.54;26.27;26.06;15.74;16.29;17.94;12.15;20.64;10.65;9.49;14.70;—
Enterprise Value/EBITDA;5.94;6.15;13.75;13.45;9.38;10.18;10.47;7.97;13.81;7.06;6.83;9.34;—
