Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.89;1.02;1.14;1.75;1.31;1.42;2.33;1.69;2.62;3.13;5.61;2.21;3.07
Price/Earnings;48.62;21.67;23.84;33.20;21.91;29.42;37.08;25.36;39.03;248.91;247.81;44.48;25.84
Price/Cash Flow;9.70;12.17;15.40;18.36;13.83;14.66;22.86;15.59;31.76;20.36;39.99;20.41;17.36
Price/Book;22.73;—;—;—;—;5.53;10.97;15.94;59.08;186.88;196.58;41.78;4.27
Price/Forward Earnings;18.28;18.38;20.53;26.25;17.99;20.70;27.78;17.06;23.31;44.25;64.10;52.61;—
PEG Ratio;1.27;0.48;1.32;2.06;1.34;1.52;1.10;1.06;2.71;5.58;0.53;5.75;—
Earnings Yield %;2.06;4.61;4.19;3.01;4.56;3.40;2.70;3.94;2.56;0.40;-0.67;2.77;—
Enterprise Value (Bil);12.66;14.43;17.72;25.49;21.39;40.03;57.65;45.99;60.88;53.03;56.35;48.45;—
Enterprise Value/EBIT;29.37;14.64;16.30;22.42;15.28;31.03;24.73;14.97;30.27;88.09;87.76;27.19;—
Enterprise Value/EBITDA;20.96;12.76;14.23;19.79;13.90;28.21;22.00;13.69;26.54;45.44;176.66;32.27;—
