Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;14.23;6.38;3.64;3.29;1.96;2.34;1.93;3.47;5.15;2.80;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;25.77;34.65;—;25.84
Price/Cash Flow;—;—;—;—;—;28.71;235,712.72;986.77;32.77;15.39;21.21;13,828.26;17.36
Price/Book;—;—;10.94;5.54;4.27;4.72;3.04;3.58;2.77;3.84;5.45;3.77;4.27
Price/Forward Earnings;—;—;-39.68;-28.01;-55.25;—;1,666.67;46.30;17.73;—;24.39;304.81;—
PEG Ratio;—;—;—;—;—;—;360.00;5.79;—;—;—;—;—
Earnings Yield %;—;—;-1.26;-7.04;-7.73;-3.97;-4.22;-2.82;-0.55;3.88;2.89;-1.63;—
Enterprise Value (Mil);—;—;908.81;457.57;292.62;306.79;185.85;262.90;216.19;403.84;684.13;305.86;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;22.00;30.13;-20.57;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;42.57;16.46;23.13;-34.38;—
