Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;12.99;3.61;2.49;1.68;3.06;2.70;5.37;2.73;2.79;3.09;3.01
Price/Earnings;—;—;303.70;4.20;39.47;—;7.77;7.09;9.88;11.88;6.31;9.80;25.53
Price/Cash Flow;—;—;26.89;33.31;—;—;1.83;1.85;—;52.86;7.54;11.62;17.03
Price/Book;—;—;0.80;0.78;0.73;2.48;0.90;0.81;1.10;0.84;1.09;0.96;4.19
Price/Forward Earnings;—;—;8.26;8.89;7.60;—;—;7.43;9.40;—;—;—;—
PEG Ratio;—;—;2.75;2.96;—;—;—;—;—;—;—;—;—
Earnings Yield %;—;—;0.33;23.83;2.53;-3.63;12.87;14.10;10.12;8.42;15.85;8.35;—
Enterprise Value (Bil);—;—;0.37;0.49;0.58;0.32;1.93;1.99;3.11;4.16;5.23;2.44;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;15.96;-141.81;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;—;15.96;-141.89;—
