Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;0.13;0.15;0.20;0.19;0.25;0.22;0.24;0.19;3.01
Price/Earnings;—;—;—;—;32.59;35.29;32.14;16.55;31.01;—;35.65;27.20;25.53
Price/Cash Flow;—;—;—;—;10.92;13.18;11.68;8.83;14.68;14.01;8.22;13.13;17.03
Price/Book;—;—;—;—;4.56;2.93;3.57;2.87;4.48;3.11;3.18;3.18;4.19
Price/Forward Earnings;—;—;—;—;32.15;28.90;—;18.45;25.97;39.84;54.95;29.79;—
PEG Ratio;—;—;—;—;—;—;—;2.33;1.93;0.90;1.42;—;—
Earnings Yield %;—;—;—;—;3.07;2.83;3.11;6.04;3.22;-2.88;-2.62;2.79;—
Enterprise Value (Bil);—;—;—;—;3.79;3.74;4.82;4.57;8.75;9.22;9.35;5.75;—
Enterprise Value/EBIT;—;—;—;—;19.79;19.78;20.87;18.01;29.52;—;36.06;21.17;—
Enterprise Value/EBITDA;—;—;—;—;12.20;12.10;13.43;11.78;19.08;50.18;39.24;18.83;—
