Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.81;0.72;0.82;1.20;1.19;1.32;1.59;1.51;1.57;2.22;2.60;1.61;3.01
Price/Earnings;13.98;12.91;19.99;93.06;23.06;21.14;24.19;18.53;21.54;—;29.55;21.05;25.53
Price/Cash Flow;9.04;6.24;7.30;94.16;15.38;10.26;13.13;11.18;10.68;21.52;15.65;13.64;17.03
Price/Book;3.42;3.13;3.47;3.45;4.10;4.87;6.00;5.48;5.83;6.32;6.60;5.48;4.19
Price/Forward Earnings;11.30;10.75;18.90;25.58;19.76;18.52;21.19;17.67;17.04;39.68;19.16;19.80;—
PEG Ratio;0.92;0.87;1.87;2.04;1.32;1.59;2.12;1.74;2.04;2.85;1.41;1.97;—
Earnings Yield %;7.15;7.74;5.00;1.07;4.34;4.73;4.13;5.40;4.64;-0.82;3.38;3.67;—
Enterprise Value (Bil);8.12;8.70;9.92;8.67;8.50;9.35;12.84;13.17;18.32;19.90;22.36;14.19;—
Enterprise Value/EBIT;11.63;12.01;17.37;30.51;17.10;13.93;18.05;16.36;21.35;—;34.12;17.38;—
Enterprise Value/EBITDA;7.88;7.94;10.05;14.50;10.45;9.95;12.78;11.69;15.20;274.48;22.22;35.72;—
