Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.42;1.40;1.54;1.39;1.27;1.61;1.77;1.56;1.63;1.81;1.88;1.67;3.07
Price/Earnings;22.63;25.19;26.34;24.78;19.52;22.44;27.18;20.15;21.55;25.64;25.25;23.22;25.84
Price/Cash Flow;18.25;22.65;22.63;24.27;16.08;17.00;27.09;20.42;19.25;24.01;25.67;21.50;17.36
Price/Book;4.44;4.03;4.11;4.50;4.46;5.15;5.77;5.97;6.00;6.44;7.46;5.98;4.27
Price/Forward Earnings;20.24;20.79;22.22;21.01;18.21;21.28;24.63;19.92;20.53;23.31;22.03;22.29;—
PEG Ratio;1.42;2.81;2.25;2.07;1.56;4.08;2.60;2.07;3.33;3.00;2.86;3.10;—
Earnings Yield %;4.42;3.97;3.80;4.03;5.12;4.46;3.68;4.96;4.64;3.90;3.96;4.34;—
Enterprise Value (Bil);7.42;6.90;7.55;7.52;7.23;8.51;10.46;10.69;12.39;15.06;20.10;11.54;—
Enterprise Value/EBIT;11.68;12.51;13.31;13.18;10.31;12.59;15.54;13.73;15.43;17.96;17.23;14.96;—
Enterprise Value/EBITDA;11.02;11.67;12.31;12.12;9.68;11.78;14.50;12.84;14.50;16.85;16.42;14.02;—
