Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.21;0.32;0.44;0.38;0.37;0.34;0.38;0.33;0.36;0.52;0.69;0.38;3.01
Price/Earnings;4.16;9.87;17.32;22.52;12.46;4.03;8.67;35.59;5.96;18.67;9.47;17.43;25.53
Price/Cash Flow;6.12;4.55;6.60;5.93;4.47;3.67;4.32;2.98;2.99;4.46;5.19;3.68;17.03
Price/Book;0.92;1.52;2.13;1.40;1.47;1.17;1.36;1.23;1.15;1.35;1.76;1.28;4.19
Price/Forward Earnings;5.16;7.41;7.54;8.11;6.30;6.04;6.70;5.30;5.65;6.77;11.19;7.19;—
PEG Ratio;0.50;0.49;0.61;0.61;0.58;7.45;7.20;1.40;1.07;0.74;1.17;3.29;—
Earnings Yield %;24.04;10.13;5.77;4.44;8.03;24.83;11.54;2.81;16.78;5.36;10.56;12.11;—
Enterprise Value (Bil);21.79;37.96;72.82;72.44;84.96;108.10;129.65;124.82;128.93;139.91;167.88;127.40;—
Enterprise Value/EBIT;2.91;—;—;20.34;11.51;8.13;11.44;11.67;12.87;26.28;13.12;15.10;—
Enterprise Value/EBITDA;2.91;4.22;—;20.34;11.51;4.71;5.47;5.22;5.26;7.63;6.63;5.75;—
