Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.47;1.06;2.05;2.03;0.87;0.99;1.43;2.02;2.37;3.66;4.25;2.04;3.01
Price/Earnings;18.17;11.67;30.38;—;11.16;16.20;78.68;26.66;17.96;26.29;28.26;42.33;25.53
Price/Cash Flow;—;9.17;15.38;12.03;15.79;11.00;8.56;11.36;16.25;16.70;18.14;13.62;17.03
Price/Book;4.09;1.88;3.87;3.51;1.77;1.85;2.63;4.40;5.16;6.50;7.33;3.80;4.19
Price/Forward Earnings;12.72;9.49;21.46;15.97;9.58;11.66;17.12;17.24;17.24;22.22;25.51;18.58;—
PEG Ratio;0.64;1.48;4.57;3.40;—;—;—;—;—;—;—;—;—
Earnings Yield %;5.50;8.57;3.29;—;8.96;6.17;1.27;3.75;5.57;3.80;3.54;4.03;—
Enterprise Value (Bil);2.87;1.31;3.09;3.19;1.78;1.98;2.50;3.65;4.84;7.73;9.72;3.82;—
Enterprise Value/EBIT;11.51;6.96;20.40;15.28;8.73;13.02;70.14;13.68;13.82;19.43;19.15;243.33;—
Enterprise Value/EBITDA;10.53;5.91;16.31;12.74;7.02;9.75;28.79;11.66;12.32;17.72;17.74;17.30;—
