Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;2.21;3.57;4.77;7.14;10.42;12.73;27.49;26.35;12.48;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;—;—;—;25.84
Price/Cash Flow;—;—;—;—;—;186.48;121.97;96.32;76.69;172.69;178.14;131.35;17.36
Price/Book;—;—;—;4.59;16.77;29.37;37.30;20.24;22.68;44.19;89.49;32.96;4.27
Price/Forward Earnings;—;—;—;-6.49;-37.88;-256.41;—;63.69;76.34;212.77;208.33;210.08;—
PEG Ratio;—;—;—;—;—;—;—;—;3.81;14.18;13.80;—;—
Earnings Yield %;—;—;—;-17.06;-7.01;-2.18;-0.57;-0.18;-0.04;-0.31;-0.37;-0.61;—
Enterprise Value (Bil);—;—;—;0.19;0.43;0.74;1.37;2.52;3.94;11.47;13.09;4.04;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;760.08;320.73;—;2,064.39;-201.19;—
Enterprise Value/EBITDA;—;—;—;—;—;—;343.27;196.34;137.74;527.19;1,064.55;926.66;—
