Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;4.21;4.28;5.43;5.88;6.35;6.30;7.78;8.53;9.97;12.81;15.08;9.45;3.07
Price/Earnings;26.16;23.42;28.27;32.12;59.57;37.83;41.85;41.18;43.80;50.99;63.15;46.00;25.84
Price/Cash Flow;14.78;14.93;17.39;17.64;19.13;21.66;23.81;25.29;29.55;38.81;44.74;29.22;17.36
Price/Book;6.62;6.42;9.78;8.99;24.24;31.43;33.53;18.36;18.77;19.85;13.66;22.95;4.27
Price/Forward Earnings;15.82;15.92;21.79;38.91;28.41;26.53;31.65;30.58;34.72;46.30;47.62;34.11;—
PEG Ratio;1.11;1.28;1.46;2.65;1.57;1.44;2.18;2.12;2.60;3.25;3.36;2.37;—
Earnings Yield %;3.82;4.27;3.54;3.11;1.68;2.64;2.39;2.43;2.28;1.96;1.58;2.22;—
Enterprise Value (Bil);15.58;17.55;21.13;25.23;25.85;29.91;40.43;50.18;66.70;100.94;134.34;59.56;—
Enterprise Value/EBIT;15.00;14.54;17.05;19.36;31.72;24.76;28.74;32.48;34.56;41.95;50.35;34.26;—
Enterprise Value/EBITDA;12.02;12.27;14.40;16.78;24.69;20.69;24.46;28.03;30.95;38.63;45.26;29.98;—
