Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.32;0.93;0.76;0.23;0.06;0.83;0.80;0.89;1.14;1.37;1.04;0.95;3.01
Price/Earnings;4.77;—;—;—;—;31.15;10.30;2.98;2.95;—;137.83;15.06;25.53
Price/Cash Flow;3.89;10.67;4.67;2.02;1.24;8.93;4.56;7.27;3.62;41.16;37.71;8.83;17.03
Price/Book;1.55;1.19;0.80;—;—;—;—;—;6.30;8.58;4.38;5.85;4.19
Price/Forward Earnings;4.99;8.80;10.67;35.09;-3.44;—;—;4.75;14.66;39.37;4.02;—;—
PEG Ratio;0.42;—;—;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;20.95;-17.03;-36.02;-544.26;-2,880.38;3.21;9.71;33.55;33.93;-1.85;-0.33;15.26;—
Enterprise Value (Bil);12.24;9.36;7.77;4.83;3.43;4.00;3.57;3.65;3.98;11.38;16.08;5.21;—
Enterprise Value/EBIT;4.89;—;—;—;—;13.41;12.01;5.49;8.10;—;58.89;27.42;—
Enterprise Value/EBITDA;4.24;42.60;29.40;—;—;9.48;9.15;4.84;6.93;56.03;21.07;13.51;—
