Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;7.65;11.90;8.87;6.78;4.55;8.52;7.20;5.99;9.35;5.90;6.93;3.01
Price/Earnings;—;40.22;54.75;43.05;37.25;29.85;58.86;42.89;40.62;73.05;63.17;47.82;25.53
Price/Cash Flow;—;38.08;44.56;32.73;28.57;18.53;36.27;28.54;22.63;35.98;28.21;27.84;17.03
Price/Book;—;6.24;9.20;6.82;5.31;3.67;6.43;5.73;4.82;6.56;3.23;5.32;4.19
Price/Forward Earnings;—;30.12;39.68;31.75;25.58;23.64;—;32.15;35.21;54.35;48.78;—;—
PEG Ratio;—;1.00;1.32;1.24;1.22;—;—;—;—;—;—;—;—
Earnings Yield %;—;2.49;1.83;2.32;2.68;3.35;1.70;2.33;2.46;1.37;1.58;2.26;—
Enterprise Value (Bil);—;0.92;1.75;1.68;1.58;1.25;2.57;2.92;2.59;3.97;2.58;2.60;—
Enterprise Value/EBIT;—;26.23;36.60;28.07;24.16;19.69;37.67;33.40;32.16;58.06;54.52;35.62;—
Enterprise Value/EBITDA;—;22.34;31.79;24.14;19.93;15.62;29.74;26.11;23.45;39.52;31.44;26.40;—
