Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.62;1.67;2.26;2.00;1.70;2.09;2.15;2.08;2.40;2.35;2.61;2.15;3.07
Price/Earnings;17.08;22.26;33.16;23.62;25.46;31.91;34.68;21.90;26.60;31.81;33.28;28.19;25.84
Price/Cash Flow;23.45;19.24;17.67;22.50;14.29;16.83;23.52;18.24;15.55;24.03;16.02;18.21;17.36
Price/Book;2.61;2.67;3.46;2.97;2.41;2.68;2.55;2.43;3.15;2.65;2.84;2.65;4.27
Price/Forward Earnings;15.92;15.17;21.19;—;24.27;—;26.04;—;—;—;—;23.74;—
PEG Ratio;1.06;—;—;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;5.86;4.49;3.02;4.23;3.93;3.13;2.88;4.57;3.76;3.14;3.00;3.63;—
Enterprise Value (Mil);557.13;627.96;852.82;827.46;665.36;743.84;738.83;745.07;894.30;753.34;787.37;754.05;—
Enterprise Value/EBIT;11.30;14.89;21.77;16.47;16.39;20.91;18.79;15.60;20.11;20.16;21.78;18.46;—
Enterprise Value/EBITDA;9.18;11.58;16.25;12.85;11.92;14.56;13.52;11.96;15.25;15.01;16.19;14.12;—
