Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.02;1.04;1.59;1.69;1.71;1.64;1.84;2.20;3.51;3.70;4.65;2.52;3.01
Price/Earnings;22.32;19.82;32.95;40.14;36.11;78.88;92.67;25.38;110.72;—;318.88;98.39;25.53
Price/Cash Flow;7.38;8.41;13.72;18.74;19.04;36.30;25.22;26.05;41.43;37.93;49.27;34.81;17.03
Price/Book;1.18;1.31;1.98;2.09;2.11;2.10;2.42;2.77;4.53;4.74;5.50;3.20;4.19
Price/Forward Earnings;15.87;12.29;17.76;19.88;25.45;21.69;25.51;25.97;—;—;—;27.53;—
PEG Ratio;1.22;1.12;1.61;1.81;—;—;—;1.84;—;—;—;—;—
Earnings Yield %;4.48;5.04;3.04;2.49;2.77;1.27;1.08;3.94;0.90;-0.01;0.31;1.46;—
Enterprise Value (Bil);0.85;0.93;1.35;1.42;1.42;1.70;1.89;2.24;3.94;3.98;4.70;2.70;—
Enterprise Value/EBIT;14.44;14.28;23.61;27.42;25.63;48.51;51.92;32.59;54.61;81.83;89.22;52.76;—
Enterprise Value/EBITDA;8.77;8.33;12.90;14.48;14.27;19.37;20.19;17.16;27.50;32.48;37.54;24.99;—
