Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;—;—;—;9.68;—;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;—;—;—;25.84
Price/Cash Flow;—;—;—;—;—;—;—;—;—;—;—;—;17.36
Price/Book;—;—;—;—;—;—;—;—;—;—;7.79;—;4.27
Price/Forward Earnings;—;—;—;—;—;—;—;—;—;—;277.78;—;—
PEG Ratio;—;—;—;—;—;—;—;—;—;—;10.71;—;—
Earnings Yield %;—;—;—;—;—;—;—;—;—;—;-0.09;—;—
Enterprise Value (Bil);—;—;—;—;—;—;—;—;—;—;1.48;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;103.55;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;—;103.55;—;—
