Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.65;2.15;3.19;3.88;3.20;2.57;3.16;2.33;2.48;1.94;2.25;2.33;3.01
Price/Earnings;9.77;11.30;17.78;22.87;18.60;14.65;17.02;9.25;13.09;9.32;10.04;11.75;25.53
Price/Cash Flow;8.02;6.42;14.58;13.25;12.37;10.98;13.16;16.16;9.59;7.65;10.27;10.82;17.03
Price/Book;2.96;4.19;5.49;5.81;4.69;4.24;5.58;3.24;3.47;2.49;2.87;3.53;4.19
Price/Forward Earnings;9.27;11.38;17.21;19.19;14.66;13.21;16.31;10.95;12.35;10.70;11.10;11.82;—
PEG Ratio;1.59;1.25;3.19;1.96;1.04;1.15;2.19;—;1.65;5.12;4.57;2.83;—
Earnings Yield %;10.23;8.85;5.63;4.37;5.38;6.82;5.88;10.81;7.64;10.73;9.96;9.16;—
Enterprise Value (Bil);1.62;2.17;2.95;3.35;2.88;2.71;3.49;2.68;3.23;2.64;3.13;2.73;—
Enterprise Value/EBIT;—;6.95;10.74;14.20;10.92;8.26;10.39;8.04;9.70;6.51;7.41;7.94;—
Enterprise Value/EBITDA;—;6.73;10.35;13.58;10.52;8.03;10.09;7.73;9.01;6.09;6.94;7.65;—
