Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.68;0.73;0.79;1.05;1.18;1.53;1.68;1.07;1.02;0.89;1.01;1.21;3.01
Price/Earnings;11.03;11.78;13.37;16.22;19.40;18.62;20.03;14.89;15.81;15.52;238.95;20.45;25.53
Price/Cash Flow;19.01;6.88;10.17;8.95;9.32;12.35;13.67;8.09;10.27;7.07;7.79;10.05;17.03
Price/Book;1.93;2.04;2.07;2.75;3.25;3.55;3.56;2.14;2.40;1.90;2.29;2.70;4.19
Price/Forward Earnings;10.32;10.00;10.15;—;15.11;16.58;16.67;12.00;13.09;12.50;13.97;14.23;—
PEG Ratio;1.03;0.98;1.02;—;—;1.55;2.68;2.37;2.08;1.45;1.27;2.01;—
Earnings Yield %;9.07;8.49;7.48;6.16;5.15;5.37;4.99;6.72;6.33;6.44;0.42;6.08;—
Enterprise Value (Bil);5.58;6.12;6.23;7.40;8.40;10.16;11.42;7.32;7.95;7.02;7.85;8.74;—
Enterprise Value/EBIT;9.14;9.02;9.63;11.71;13.62;12.71;13.68;9.67;12.28;11.80;31.26;12.29;—
Enterprise Value/EBITDA;6.83;6.88;7.40;8.94;10.37;10.22;10.97;7.33;9.20;8.61;16.98;9.36;—
