Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.30;1.53;2.27;2.81;2.97;3.38;3.41;3.34;3.55;3.93;4.36;3.71;3.07
Price/Earnings;21.35;22.80;29.64;33.75;35.32;39.91;36.06;31.79;32.82;32.89;37.83;36.14;25.84
Price/Cash Flow;16.15;14.57;22.46;25.82;26.15;28.19;26.69;28.98;28.28;28.33;28.33;29.28;17.36
Price/Book;—;—;—;—;—;—;—;—;—;—;—;—;4.27
Price/Forward Earnings;17.95;19.61;23.47;27.70;29.59;31.85;27.86;25.84;27.17;29.50;37.31;31.14;—
PEG Ratio;1.52;1.31;1.57;1.85;1.85;1.99;1.74;1.61;2.02;2.10;3.39;2.09;—
Earnings Yield %;4.68;4.39;3.37;2.96;2.83;2.51;2.77;3.15;3.05;3.04;2.64;2.82;—
Enterprise Value (Bil);3.40;3.96;5.39;6.72;7.57;9.88;11.36;13.55;15.05;19.12;22.18;14.61;—
Enterprise Value/EBIT;13.58;14.01;17.73;19.76;20.46;22.32;22.83;23.76;25.17;27.76;29.20;25.39;—
Enterprise Value/EBITDA;12.36;12.94;16.39;18.24;18.54;20.68;21.02;21.85;22.94;25.43;26.82;23.32;—
