Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.32;1.04;1.37;0.82;0.89;3.90;2.28;0.69;0.79;0.71;1.89;1.54;3.07
Price/Earnings;10.80;9.51;16.23;19.99;—;—;—;22.02;—;—;27.23;133.08;25.84
Price/Cash Flow;3.98;2.81;4.21;3.02;2.26;8.81;22.57;3.48;2.65;2.52;8.11;7.46;17.36
Price/Book;1.28;1.03;1.33;0.85;0.84;1.72;1.42;0.59;0.69;0.47;0.92;0.88;4.27
Price/Forward Earnings;7.56;13.62;18.80;13.76;-8.14;-16.21;-109.89;-41.32;-9.63;-2.87;—;51.02;—
PEG Ratio;0.30;3.37;1.74;0.95;—;—;—;—;—;—;—;—;—
Earnings Yield %;9.26;10.52;6.16;5.00;-8.02;-7.58;-6.61;4.54;-24.48;-78.90;-27.59;-31.54;—
Enterprise Value (Bil);3.51;3.31;4.14;3.08;3.01;4.56;5.82;3.12;2.85;1.68;2.46;3.41;—
Enterprise Value/EBIT;7.35;6.63;10.57;14.64;—;—;—;—;—;—;-56.24;-1.97;—
Enterprise Value/EBITDA;3.98;3.23;4.41;3.30;4.64;17.09;16.79;3.95;6.30;—;21.02;11.66;—
