Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.37;2.48;3.18;3.19;2.65;3.03;3.22;2.93;3.92;3.98;4.32;3.38;3.07
Price/Earnings;22.88;24.99;28.18;28.24;39.50;27.44;33.88;22.14;24.25;26.72;25.85;26.82;25.84
Price/Cash Flow;18.47;15.06;19.85;24.65;19.07;21.49;20.97;14.94;18.23;17.12;17.60;18.58;17.36
Price/Book;14.57;15.42;16.26;14.88;21.78;24.52;29.07;18.20;17.51;15.35;15.94;20.81;4.27
Price/Forward Earnings;19.80;20.12;23.09;23.26;20.12;22.42;21.37;19.27;23.81;22.88;25.25;22.07;—
PEG Ratio;2.58;2.06;1.80;2.27;2.62;1.92;1.62;2.27;3.54;4.40;4.74;2.97;—
Earnings Yield %;4.37;4.00;3.55;3.54;2.53;3.64;2.95;4.52;4.12;3.74;3.87;3.85;—
Enterprise Value (Bil);15.25;17.34;22.97;24.86;21.78;24.84;26.81;26.36;35.13;35.66;39.55;29.31;—
Enterprise Value/EBIT;14.44;15.56;17.85;18.28;21.60;19.31;23.39;18.05;21.11;22.30;21.65;20.95;—
Enterprise Value/EBITDA;12.06;13.10;15.47;15.90;17.43;15.62;19.14;15.03;18.00;18.87;18.58;17.44;—
