Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;1.09;0.52;0.36;0.46;0.31;0.39;0.49;0.87;0.39;3.07
Price/Earnings;—;—;—;19.90;14.12;—;—;12.92;54.19;42.29;38.33;37.94;25.84
Price/Cash Flow;—;—;—;8.16;24.43;7.65;228.32;7.15;—;5.56;9.97;28.36;17.36
Price/Book;—;—;—;4.61;1.76;1.33;2.39;1.50;1.70;2.04;3.59;1.73;4.27
Price/Forward Earnings;—;—;—;20.37;—;—;—;—;—;—;13.68;—;—
PEG Ratio;—;—;—;1.02;—;—;—;—;—;—;0.68;—;—
Earnings Yield %;—;—;—;5.02;7.08;-11.22;-16.98;7.74;1.85;2.36;2.61;-3.10;—
Enterprise Value (Bil);—;—;—;2.13;1.15;0.84;1.02;0.84;1.03;1.11;1.67;0.90;—
Enterprise Value/EBIT;—;—;—;13.74;10.34;—;—;26.31;26.26;25.01;21.70;-2.91;—
Enterprise Value/EBITDA;—;—;—;12.17;8.90;—;—;14.39;14.83;13.83;14.47;85.45;—
