Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;1.09;0.52;0.36;0.46;0.31;0.39;0.49;0.71;0.38;3.01
Price/Earnings;—;—;—;19.90;14.12;—;—;12.92;54.19;42.29;31.20;37.91;25.53
Price/Cash Flow;—;—;—;8.16;24.43;7.65;228.32;7.15;—;5.56;8.11;28.74;17.03
Price/Book;—;—;—;4.61;1.76;1.33;2.39;1.50;1.70;2.04;2.92;1.69;4.19
Price/Forward Earnings;—;—;—;20.37;—;—;—;—;—;—;13.68;—;—
PEG Ratio;—;—;—;1.02;—;—;—;—;—;—;0.68;—;—
Earnings Yield %;—;—;—;5.02;7.08;-11.22;-16.98;7.74;1.85;2.36;3.21;-3.22;—
Enterprise Value (Bil);—;—;—;2.13;1.15;0.84;1.02;0.84;1.03;1.11;1.42;0.88;—
Enterprise Value/EBIT;—;—;—;13.74;10.34;—;—;26.31;26.26;25.01;18.49;-2.91;—
Enterprise Value/EBITDA;—;—;—;12.17;8.90;—;—;14.39;14.83;13.83;12.33;85.45;—
