Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.50;2.02;2.10;1.93;2.09;3.22;3.08;2.44;3.74;4.39;5.98;3.39;3.07
Price/Earnings;10.40;10.03;12.62;—;27.88;22.03;19.27;18.44;33.12;—;58.70;56.59;25.84
Price/Cash Flow;8.68;20.01;167.25;42.20;17.11;17.62;13.27;14.39;26.08;34.69;23.67;22.57;17.36
Price/Book;1.38;1.61;1.40;1.19;1.63;2.44;2.27;1.69;4.76;1.87;2.70;2.20;4.27
Price/Forward Earnings;12.08;15.08;20.88;20.66;16.08;21.23;17.83;9.65;—;19.42;22.47;18.70;—
PEG Ratio;1.21;1.51;2.09;2.07;1.61;2.12;1.49;0.80;—;—;—;1.50;—
Earnings Yield %;9.61;9.97;7.92;-1.17;3.59;4.54;5.19;5.42;3.02;-1.05;1.70;3.31;—
Enterprise Value (Bil);0.18;0.31;0.28;0.22;0.34;0.60;0.60;0.44;1.65;2.00;3.11;1.01;—
Enterprise Value/EBIT;5.69;9.19;23.10;—;11.21;16.15;14.44;8.25;59.88;—;52.40;22.52;—
Enterprise Value/EBITDA;4.76;7.84;14.92;59.98;9.21;13.84;12.64;7.38;48.96;38.92;24.68;26.91;—
