Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.15;0.21;0.30;0.26;0.20;0.22;0.20;0.15;0.18;0.23;0.28;0.19;3.01
Price/Earnings;11.39;14.06;17.86;15.53;11.23;13.46;11.21;4.91;9.71;10.74;8.88;9.40;25.53
Price/Cash Flow;8.23;8.41;11.38;16.77;8.26;9.50;11.10;4.97;5.67;6.76;4.86;7.23;17.03
Price/Book;1.56;2.06;2.95;2.70;2.13;2.52;1.97;1.32;1.54;1.56;1.73;1.70;4.19
Price/Forward Earnings;10.30;10.56;13.11;13.12;10.06;12.20;10.07;7.19;9.27;9.56;8.76;9.71;—
PEG Ratio;0.66;0.67;1.13;1.21;1.26;1.61;1.12;0.90;1.69;1.14;0.84;1.37;—
Earnings Yield %;8.78;7.11;5.60;6.44;8.90;7.43;8.92;20.36;10.29;9.31;11.26;11.45;—
Enterprise Value (Bil);4.08;4.33;6.05;6.40;6.00;7.35;7.69;6.82;10.12;10.35;11.17;8.44;—
Enterprise Value/EBIT;13.86;11.55;13.45;12.07;9.68;11.69;11.04;8.55;12.88;13.56;10.87;11.38;—
Enterprise Value/EBITDA;11.84;10.09;11.88;10.68;8.61;10.27;9.74;7.58;11.33;11.80;9.77;9.99;—
