Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;3.61;2.83;4.04;4.42;3.48;3.40;4.47;3.75;5.25;6.98;9.04;4.63;3.07
Price/Earnings;20.79;16.24;27.44;27.87;23.45;23.26;28.74;24.43;27.29;54.45;158.22;34.31;25.84
Price/Cash Flow;15.92;12.17;19.35;17.79;20.12;21.82;19.11;17.00;19.97;39.71;63.94;23.47;17.36
Price/Book;—;—;—;—;—;—;—;—;—;—;347.34;346.29;4.27
Price/Forward Earnings;19.72;16.84;22.52;26.39;20.92;21.41;23.92;16.64;23.15;29.33;33.78;23.34;—
PEG Ratio;3.12;2.53;3.75;3.19;—;—;1.63;0.76;2.48;4.88;1.30;2.21;—
Earnings Yield %;4.81;6.16;3.64;3.59;4.27;4.30;3.48;4.09;3.66;1.84;0.63;3.69;—
Enterprise Value (Bil);2.38;2.67;3.54;3.75;3.46;3.81;4.95;4.74;6.63;6.82;7.53;5.21;—
Enterprise Value/EBIT;13.94;13.62;18.74;17.89;15.41;15.97;18.63;15.36;21.89;44.20;74.72;23.49;—
Enterprise Value/EBITDA;13.32;13.07;17.83;17.10;14.68;15.24;17.81;14.52;20.77;37.92;59.55;21.18;—
